student26_10.c, E-RP-05, dlho aktívna premenná, 9
student26_10.c, E-RP-07, neoptimálne využívanie premenných, 1
student26_10.c, W-01, využívanie globálnej premennej, 2
student26_11.c, E-RP-05, dlho aktívna premenná, 9
student26_11.c, E-RP-07, neoptimálne využívanie premenných, 1
student26_11.c, W-01, využívanie globálnej premennej, 2
student26_12.c, E-RP-05, dlho aktívna premenná, 9
student26_12.c, E-RP-07, neoptimálne využívanie premenných, 1
student26_12.c, W-01, využívanie globálnej premennej, 2
student26_13.c, E-RP-05, dlho aktívna premenná, 9
student26_13.c, E-RP-07, neoptimálne využívanie premenných, 1
student26_13.c, W-01, využívanie globálnej premennej, 2
student26_14.c, E-RP-05, dlho aktívna premenná, 9
student26_14.c, E-RP-07, neoptimálne využívanie premenných, 1
student26_14.c, W-01, využívanie globálnej premennej, 2
student26_2.c, E-RP-05, dlho aktívna premenná, 10
student26_2.c, E-RP-07, neoptimálne využívanie premenných, 1
student26_2.c, W-01, využívanie globálnej premennej, 2
student26_3.c, E-RP-05, dlho aktívna premenná, 10
student26_3.c, E-RP-07, neoptimálne využívanie premenných, 1
student26_3.c, W-01, využívanie globálnej premennej, 2
student26_4.c, E-RP-05, dlho aktívna premenná, 10
student26_4.c, E-RP-07, neoptimálne využívanie premenných, 1
student26_4.c, W-01, využívanie globálnej premennej, 2
student26_5.c, E-RP-05, dlho aktívna premenná, 10
student26_5.c, E-RP-07, neoptimálne využívanie premenných, 1
student26_5.c, W-01, využívanie globálnej premennej, 2
student26_6.c, E-RP-05, dlho aktívna premenná, 10
student26_6.c, E-RP-07, neoptimálne využívanie premenných, 1
student26_6.c, W-01, využívanie globálnej premennej, 2
student26_7.c, E-RP-05, dlho aktívna premenná, 10
student26_7.c, E-RP-07, neoptimálne využívanie premenných, 1
student26_7.c, W-01, využívanie globálnej premennej, 2
student26_8.c, E-RP-05, dlho aktívna premenná, 10
student26_8.c, E-RP-07, neoptimálne využívanie premenných, 1
student26_8.c, W-01, využívanie globálnej premennej, 2
student26_9.c, E-RP-05, dlho aktívna premenná, 10
student26_9.c, E-RP-07, neoptimálne využívanie premenných, 1
student26_9.c, W-01, využívanie globálnej premennej, 2
student27_1.c, E-RP-05, dlho aktívna premenná, 4
student27_1.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_10.c, E-RP-05, dlho aktívna premenná, 7
student27_10.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_11.c, E-RP-05, dlho aktívna premenná, 7
student27_11.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_12.c, E-RP-05, dlho aktívna premenná, 7
student27_12.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_13.c, E-RP-05, dlho aktívna premenná, 7
student27_13.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_14.c, E-RP-05, dlho aktívna premenná, 7
student27_14.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_15.c, E-RP-05, dlho aktívna premenná, 7
student27_15.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_16.c, E-RP-05, dlho aktívna premenná, 7
student27_16.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_17.c, E-RP-05, dlho aktívna premenná, 7
student27_17.c, E-RP-07, neoptimálne využívanie premenných, 1
student27_18.c, E-RP-05, dlho aktívna premenná, 7
