student14_3.c, E-RP-05, dlho aktívna premenná, 16
student14_3.c, E-RP-05, dlho aktívna premenná, 17
student14_3.c, E-RP-05, dlho aktívna premenná, 145
student14_3.c, E-RP-05, dlho aktívna premenná, 213
student14_3.c, E-RP-05, dlho aktívna premenná, 92
student14_3.c, E-RP-05, dlho aktívna premenná, 159
student14_4.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_4.c, E-RP-05, dlho aktívna premenná, 227
student14_4.c, E-RP-05, dlho aktívna premenná, 197
student14_4.c, W-01, využívanie globálnej premennej, 6
student14_4.c, E-RP-05, dlho aktívna premenná, 46
student14_4.c, E-RP-05, dlho aktívna premenná, 174
student14_4.c, E-RP-05, dlho aktívna premenná, 47
student14_4.c, E-RP-05, dlho aktívna premenná, 16
student14_4.c, E-RP-05, dlho aktívna premenná, 144
student14_4.c, E-RP-05, dlho aktívna premenná, 17
student14_4.c, E-RP-05, dlho aktívna premenná, 212
student14_4.c, E-RP-05, dlho aktívna premenná, 92
student14_4.c, E-RP-05, dlho aktívna premenná, 158
student14_5.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_5.c, E-RP-05, dlho aktívna premenná, 227
student14_5.c, E-RP-05, dlho aktívna premenná, 197
student14_5.c, W-01, využívanie globálnej premennej, 6
student14_5.c, E-RP-05, dlho aktívna premenná, 46
student14_5.c, E-RP-05, dlho aktívna premenná, 174
student14_5.c, E-RP-05, dlho aktívna premenná, 47
student14_5.c, E-RP-05, dlho aktívna premenná, 16
student14_5.c, E-RP-05, dlho aktívna premenná, 144
student14_5.c, E-RP-05, dlho aktívna premenná, 17
student14_5.c, E-RP-05, dlho aktívna premenná, 212
student14_5.c, E-RP-05, dlho aktívna premenná, 92
student14_5.c, E-RP-05, dlho aktívna premenná, 158
student14_6.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_6.c, E-RP-05, dlho aktívna premenná, 227
student14_6.c, E-RP-05, dlho aktívna premenná, 197
student14_6.c, W-01, využívanie globálnej premennej, 6
student14_6.c, E-RP-05, dlho aktívna premenná, 46
student14_6.c, E-RP-05, dlho aktívna premenná, 174
student14_6.c, E-RP-05, dlho aktívna premenná, 47
student14_6.c, E-RP-05, dlho aktívna premenná, 16
student14_6.c, E-RP-05, dlho aktívna premenná, 144
student14_6.c, E-RP-05, dlho aktívna premenná, 17
student14_6.c, E-RP-05, dlho aktívna premenná, 212
student14_6.c, E-RP-05, dlho aktívna premenná, 92
student14_6.c, E-RP-05, dlho aktívna premenná, 158
student14_7.c, E-RP-05, dlho aktívna premenná, 224
student14_7.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_7.c, E-RP-05, dlho aktívna premenná, 164
student14_7.c, W-01, využívanie globálnej premennej, 6
student14_7.c, E-RP-05, dlho aktívna premenná, 46
student14_7.c, E-RP-05, dlho aktívna premenná, 47
student14_7.c, E-RP-05, dlho aktívna premenná, 239
student14_7.c, E-RP-05, dlho aktívna premenná, 16
student14_7.c, E-RP-05, dlho aktívna premenná, 144
student14_7.c, E-RP-05, dlho aktívna premenná, 17
student14_7.c, E-RP-05, dlho aktívna premenná, 209
student14_7.c, E-RP-05, dlho aktívna premenná, 180
student14_7.c, E-RP-05, dlho aktívna premenná, 92
student14_8.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_8.c, E-RP-05, dlho aktívna premenná, 229
student14_8.c, W-01, využívanie globálnej premennej, 6
student14_8.c, E-RP-05, dlho aktívna premenná, 199
student14_8.c, E-RP-05, dlho aktívna premenná, 46
student14_8.c, E-RP-05, dlho aktívna premenná, 47
student14_8.c, E-RP-05, dlho aktívna premenná, 175
student14_8.c, E-RP-05, dlho aktívna premenná, 16
student14_8.c, E-RP-05, dlho aktívna premenná, 144
student14_8.c, E-RP-05, dlho aktívna premenná, 17
student14_8.c, E-RP-05, dlho aktívna premenná, 214
student14_8.c, E-RP-05, dlho aktívna premenná, 92
student14_8.c, E-RP-05, dlho aktívna premenná, 159
student14_9.c, E-RP-07, neoptimálne využívanie premenných, 0
student14_9.c, E-RP-05, dlho aktívna premenná, 229
student14_9.c, W-01, využívanie globálnej premennej, 6
student14_9.c, E-RP-05, dlho aktívna premenná, 199
student14_9.c, E-RP-05, dlho aktívna premenná, 46
student14_9.c, E-RP-05, dlho aktívna premenná, 47
student14_9.c, E-RP-05, dlho aktívna premenná, 175
student14_9.c, E-RP-05, dlho aktívna premenná, 16
student14_9.c, E-RP-05, dlho aktívna premenná, 144
student14_9.c, E-RP-05, dlho aktívna premenná, 17
student14_9.c, E-RP-05, dlho aktívna premenná, 214
student14_9.c, E-RP-05, dlho aktívna premenná, 92
student14_9.c, E-RP-05, dlho aktívna premenná, 159
student15_1.c, E-RP-05, dlho aktívna premenná, 48
student15_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student15_1.c, E-RP-05, dlho aktívna premenná, 29
student15_2.c, E-RP-05, dlho aktívna premenná, 48
student15_2.c, E-RP-07, neoptimálne využívanie premenných, 0
student15_2.c, E-RP-05, dlho aktívna premenná, 49
student15_2.c, E-RP-05, dlho aktívna premenná, 29
student16_1.c, E-RP-05, dlho aktívna premenná, 32
student16_1.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_1.c, E-RP-05, dlho aktívna premenná, 99
student16_1.c, E-RP-05, dlho aktívna premenná, 100
student16_1.c, E-RP-05, dlho aktívna premenná, 101
student16_1.c, W-01, využívanie globálnej premennej, 10
student16_1.c, W-01, využívanie globálnej premennej, 11
student16_1.c, W-01, využívanie globálnej premennej, 12
student16_1.c, W-01, využívanie globálnej premennej, 13
student16_1.c, W-01, využívanie globálnej premennej, 14
student16_1.c, W-01, využívanie globálnej premennej, 15
student16_10.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_10.c, W-01, využívanie globálnej premennej, 8
student16_10.c, W-01, využívanie globálnej premennej, 9
student16_10.c, W-01, využívanie globálnej premennej, 10
student16_10.c, W-01, využívanie globálnej premennej, 11
student16_10.c, W-01, využívanie globálnej premennej, 12
student16_10.c, W-01, využívanie globálnej premennej, 13
student16_10.c, W-01, využívanie globálnej premennej, 14
student16_10.c, W-01, využívanie globálnej premennej, 15
student16_10.c, E-RP-05, dlho aktívna premenná, 182
student16_10.c, E-RP-05, dlho aktívna premenná, 183
student16_10.c, E-RP-05, dlho aktívna premenná, 120
student16_10.c, E-RP-05, dlho aktívna premenná, 184
student16_10.c, E-RP-05, dlho aktívna premenná, 121
student16_10.c, E-RP-05, dlho aktívna premenná, 122
student16_10.c, E-RP-05, dlho aktívna premenná, 61
student16_10.c, E-RP-05, dlho aktívna premenná, 62
student16_11.c, E-RP-05, dlho aktívna premenná, 96
student16_11.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_11.c, E-RP-05, dlho aktívna premenná, 97
student16_11.c, E-RP-05, dlho aktívna premenná, 24
student16_11.c, E-RP-05, dlho aktívna premenná, 26
student16_11.c, E-RP-05, dlho aktívna premenná, 27
student16_11.c, E-RP-05, dlho aktívna premenná, 29
student16_11.c, E-RP-05, dlho aktívna premenná, 30
student16_11.c, E-RP-05, dlho aktívna premenná, 95
student16_11.c, E-RP-05, dlho aktívna premenná, 127
student16_12.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_12.c, E-RP-05, dlho aktívna premenná, 99
student16_12.c, E-RP-05, dlho aktívna premenná, 131
student16_12.c, E-RP-05, dlho aktívna premenná, 100
student16_12.c, E-RP-05, dlho aktívna premenná, 101
student16_12.c, E-RP-05, dlho aktívna premenná, 24
student16_12.c, E-RP-05, dlho aktívna premenná, 26
student16_12.c, E-RP-05, dlho aktívna premenná, 27
student16_12.c, E-RP-05, dlho aktívna premenná, 29
student16_12.c, E-RP-05, dlho aktívna premenná, 30
student16_13.c, E-RP-07, neoptimálne využívanie premenných, 0
student16_13.c, E-RP-05, dlho aktívna premenná, 99
student16_13.c, E-RP-05, dlho aktívna premenná, 100
student16_13.c, E-RP-05, dlho aktívna premenná, 101
student16_13.c, E-RP-05, dlho aktívna premenná, 24
student16_13.c, E-RP-05, dlho aktívna premenná, 26
